source,sand_pct,silt_pct,clay_pct,LL,PI,moisture_%,gamma_kN_m3,e_void_ratio,c_kPa,phi_deg,depth_m,OCR,sigma_v_eff_kPa,E_MPa,stone_column_flag,relative_density_Dr,stone_col_D_m,stone_col_S_m,area_replacement_ratio_Ar,Ec_MPa,Ec_over_Es,delta_c_kPa,delta_phi_deg,delta_E_MPa,delta_e,delta_gamma_kN_m3,effectiveness_%
CANSIS,5.898700428955675,68.50159303443938,25.599706536604938,55.36193171566993,23.956579898225563,14.796683117968573,16.80852841867953,0.6873322916197104,28.7778534886515,26.853939035996348,1.5648941734925979,1.4435946417686707,26.303568187376346,9.145261825555052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.930556899863515,5.633407721852556,58.303891441872196,-0.20970556546064925,1.4713098680531047,49.86421755919241
CANSIS,37.325397282387506,5.385315865067106,57.28928685254539,27.62695214571307,5.614672911470038,18.084289052888018,16.73489399536,0.539441538866208,32.236963813388584,26.05011956082464,3.283509667357905,1.7470620280899822,54.949186215974315,7.0746813244814515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2108542664621,5.889247072326706,71.91877292393382,-0.2212777292722714,1.3682145701485047,53.28586666793559
CANSIS,23.9338890579944,30.80644414237831,45.25966679962728,48.81441800834066,5.553088788224931,15.6664100556747,20.03127290260518,0.7252958921923777,33.31104778460663,21.101809086990283,1.7410814215332948,1.6882092087272067,34.876077100389196,6.593254734738036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.28026519071944,4.999389124462048,53.84205205722141,-0.199177977906065,1.1691523787259122,39.931543764773146
CANSIS,42.179820179654484,19.893963189508504,37.92621663083701,50.3357523191428,13.09025547873853,18.87490764579843,16.74773099924753,0.6711696222848664,33.804068132163415,31.741068338690475,2.1145722524601456,0.9000698761019057,35.41428726267545,10.640481249049785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.92904727591898,5.34507498635953,60.10328645176172,-0.22015727070225993,1.3775235998629565,55.21956298198189
CANSIS,20.230171219825436,66.18880355584055,13.581025224334008,41.2065335651193,17.216079760116642,11.735596068652335,16.859748630643153,0.8724163518542551,20.643789161644158,28.831052527949396,1.874839201294333,0.8940243106639161,31.609317656698234,17.920282639053564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.701478868772394,4.264439447771975,50.984805360133905,-0.1920651213358642,1.2528348005108807,43.864907571162284
CANSIS,56.60615822031574,29.814143161193115,13.579698618491145,56.82221178123614,24.26018544519483,22.976494772706758,19.29699131208982,0.8331785871989796,34.31923723974511,31.406533997628856,1.7313511194752684,1.0486266780683873,33.409867510691235,13.898393314234868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.451772173510328,4.389068298508172,45.287519384661096,-0.19645565208471633,1.1886281213925323,43.3205578082524
CANSIS,25.64944173207881,66.15595959867022,8.19459866925097,66.71835073845074,22.08238441516263,11.690314089805373,17.7486992122527,0.700526550508647,27.719306214033168,31.740228469591557,4.302843806242668,1.1693971442433484,76.36988047430566,20.91882215698089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20605949021007,4.749666810768624,45.09866992382872,-0.1678767179887616,1.104482803008123,40.2764588052903
CANSIS,0.4733903072375758,46.88692167514098,52.63968801762144,66.27842564533881,16.14756765941871,30.00891269555904,19.383552784775905,0.6198409048402446,9.850143087108858,29.973693658651836,2.1428302706435614,1.2309922558310273,41.53566365983511,9.876830373214858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.456263767983733,5.201111483967945,72.6588517148852,-0.22021516833466723,1.4545377939399742,49.01263522239902
CANSIS,46.14671923014803,15.791955123975484,38.06132564587649,42.541968570206606,11.840666657041647,15.842802047760825,15.826830787821926,1.0434197813855755,19.307003194039098,25.027369619995476,4.708495127457797,1.5836063818833488,74.5205556475586,14.618254646678832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.551772138413448,5.7221470333685325,57.10672108548491,-0.20996442292208245,1.4193423215098864,49.04104370635245
CANSIS,4.384316887928235,51.67169133328926,43.943991778782504,25.661902292037762,29.928112503942778,23.500297865112763,17.93785596836692,0.7497008916578631,26.54993526116012,27.768748080246795,4.879706101380764,0.773684561815586,87.53146521452942,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.275693404066125,5.84299993015444,65.3072191934768,-0.24627027681777297,1.606080861566128,60.0
